,id,curr_liv_pref,age,mv,compul_edu_urban,compul_edu_ctype,compul_edu_pref,q3,q4_1,q4_2,q5,curr_job,curr_job_yrs,q9_1,q9_2,q10_1,q10_2,q10_3,q10_4,q10_5,q10_6,q10_7,q10_8,q10_9,q11,q12,q13,q14,q14sq1,q14sq2,q14sq3,q14sq4,q15,q16,q16sq1_1,q16sq1_2,q16sq2,q16sq3,q16sq4,q17,q17sq1_1,q17sq1_2,q17sq1_3,q17sq1_4,q17sq1_5,q17sq1_6,q17sq1_7,q17sq1_8,q17sq2_1,q17sq2_2,q17sq2_3,q17sq2_4,q17sq2_5,q17sq2_6,q17sq2_7,q17sq2_8,q17sq2_9,q18,q19,fin_edu_deg,fin_edu_hs_maj,fin_edu_clg_maj,fin_edu_pref,fin_edu_course,fin_edu_grad,fin_edu_e_age,voc,q23sq1_1,q23sq1_2,q23sq1_3,q23sq1_4,q23sq1_5,q23sq1_6,q23sq1_7,q23sq1_8,q23sq2,q23sq3,marr,marr_age,sep_age,remarr_age,num_kids,birth_age_1st,birth_age_last,q28_4,q28_5,q29_1,q29_2,q29_3,q29_4,q29_5,q30_1,q30_2,q30_3,q30_4,q31_1,q31_2,q31_3,q31_4,q31_5,q32,q32sq,q33a,q33b,q33c,q33d,q33e,q34,q34sq,q35_1,q35_2,q35_3,q36,hus_fin_edu,hus_marr_emp_pos,q38_1_3,hus_marr_ind_maj,hus_marr_ind_min,hus_marr_pos,hus_marr_f_size,hus_curr_emp_pos,q38_2_3,hus_curr_ind_maj,hus_curr_ind_min,hus_curr_pos,hus_curr_f_size,farther_edu,mother_edu,fam_size,q41sq_1,q41sq_2,q41sq_3,q41sq_4,q41sq_5,q41sq_6,inc_hh,inc_hh_100k,inc_ind_y_n,inc_ind,inc_ind_100k,inc_hus_100k,q44_1,curr_card_no,curr_frm_id,curr_emp_pos,curr_ind,curr_ind_maj,curr_ind_min,curr_work_hour,curr_work_day,curr_pos,curr_f_sz,curr_cmmt_time,curr_chnl,curr_s_age,curr_e_age,last_card_no,last_frm_id,last_emp_pos,last_ind,last_ind_maj,last_ind_min,last_work_hour,last_work_day,last_pos,last_f_sz,last_cmmt_time,last_chnl,last_s_age,last_e_age,saishu_11,init_firm_id,init_emp_pos,init_ind,init_ind_maj,init_ind_min,init_work_hour,init_work_day,init_pos,init_f_sz,init_cmmt_time,init_chnl,init_s_age,init_e_age,init_chng_rsn,1st_firm_id,1st_emp_pos,1st_ind,1st_ind_maj,1st_ind_min,1st_work_hour,1st_work_day,1st_pos,1st_f_sz,1st_cmmt_time,1st_chnl,1st_s_age,1st_e_age,1st_chng_rsn,2nd_firm_id,2nd_emp_pos,2nd_ind,2nd_ind_maj,2nd_ind_min,2nd_work_hour,2nd_work_day,2nd_pos,2nd_f_sz,2nd_cmmt_time,2nd_chnl,2nd_s_age,2nd_e_age,2nd_chng_rsn,3rd_firm_id,3rd_emp_pos,3rd_ind,3rd_ind_maj,3rd_ind_min,3rd_work_hour,3rd_work_day,3rd_pos,3rd_f_sz,3rd_cmmt_time,3rd_chnl,3rd_s_age,3rd_e_age,3rd_chng_rsn,4th_firm_id,4th_emp_pos,4th_ind,4th_ind_maj,4th_ind_min,4th_work_hour,4th_work_day,4th_pos,4th_f_sz,4th_cmmt_time,4th_chnl,4th_s_age,4th_e_age,4th_chng_rsn,5th_firm_id,5th_emp_pos,5th_ind,5th_ind_maj,5th_ind_min,5th_work_hour,5th_work_day,5th_pos,5th_f_sz,5th_cmmt_time,5th_chnl,5th_s_age,5th_e_age,5th_chng_rsn,6th_firm_id,6th_emp_pos,6th_ind,6th_ind_maj,6th_ind_min,6th_work_hour,6th_work_day,6th_pos,6th_f_sz,6th_cmmt_time,6th_chnl,6th_s_age,6th_e_age,6th_chng_rsn,7th_firm_id,7th_emp_pos,7th_ind,7th_ind_maj,7th_ind_min,7th_work_hour,7th_work_day,7th_pos,7th_f_sz,7th_cmmt_time,7th_chnl,7th_s_age,7th_e_age,7th_chng_rsn,8th_firm_id,8th_emp_pos,8th_ind,8th_ind_maj,8th_ind_min,8th_work_hour,8th_work_day,8th_pos,8th_f_sz,8th_cmmt_time,8th_chnl,8th_s_age,8th_e_age,8th_chng_rsn,9th_firm_id,9th_emp_pos,9th_ind,9th_ind_maj,9th_ind_min,9th_work_hour,9th_work_day,9th_pos,9th_f_sz,9th_cmmt_time,9th_chnl,9th_s_age,9th_e_age,9th_chng_rsn,10th_firm_id,10th_emp_pos,10th_ind,10th_ind_maj,10th_ind_min,10th_work_hour,10th_work_day,10th_pos,10th_f_sz,10th_cmmt_time,10th_chnl,10th_s_age,10th_e_age,10th_chng_rsn,lifestage_1,lifestage_2,lifestage_3,lifestage_4_1,lifestage_4_2,lifestage_5,chrt
531,532,11,62,2,1,9,8,1,8,149,2,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,2,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,1,1,8,98,8,1,2,10,2,8,8,8,8,8,8,8,8,8,8,3,18,24,27,4,21,30,46,80,3,3,2,2,3,1,9,1,1,5,5,5,5,5,0,8,3,3,3,3,3,2,8,2,2,2,4,1,2,31,8,115,1,2,5,12,97,997,8,98,11,10,4,1,1,0,0,0,0,7,0,2,98,0,3,0, , , , , , , , , , , , , , ,5,2,3,40,10,266,12,7,1,2,1,2,16,18,4,1,3,44,10,266,12,7,1,2,1,2,11,16,3,2,3,40,10,266,12,7,1,2,1,2,16,18,4,98,6,12,97,997,98,8,8,98,8,98,18,62,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,7,0,98,1921
532,533,11,66,2,1,9,8,2,3,293,2,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,2,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,1,2,8,98,8,1,1,14,2,8,8,8,8,8,8,8,8,8,8,3,22,28,30,4,24,34,50,56,2,3,2,2,3,2,2,2,2,5,5,5,5,5,0,8,3,2,2,3,2,5,3,2,1,2,3,2,2,31,8,115,1,4,5,12,97,997,8,98,11,10,2,1,0,0,0,0,0,4,0,2,98,0,4,0, , , , , , , , , , , , , , ,5,2,2,20,3,55,10,7,1,6,5,2,18,22,4,1,2,48,3,54,10,7,1,3,4,1,14,18,8,2,2,20,3,55,10,7,1,6,5,2,18,22,4,98,6,12,97,997,98,8,8,98,8,98,22,66,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,7,0,98,1917
533,534,11,42,2,2,8,6,7,99,999,3,1,3,1,4,3,2,2,2,1,2,3,3,3,2,2,2,1,98,8,8,98,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,7,1,98,6,1,1,18,2,8,8,8,8,8,8,8,8,8,8,2,24,98,98,2,28,31,80,80,2,3,2,2,4,4,4,4,4,2,3,3,3,2,0,8,2,3,2,2,4,5,3,1,1,3,3,8,2,33,8,121,1,4,1,33,8,121,8,2,1,1,4,1,1,0,0,0,0,10,0,1,2,0,9,0,7,2,3,92,1,42,3,7,1,2,2,1,39,42, , , , , , , , , , , , , , , ,1,2,40,3,55,8,7,1,5,6,2,18,21,8,2,3,20,8,163,8,7,1,4,3,5,21,28,5,98,6,12,97,997,98,8,8,98,8,98,28,39,98,2,3,92,1,42,3,7,1,2,2,1,39,42,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,4,0,98,1941
534,535,11,51,2,1,3,10,3,1,292,3,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,1,1,8,4,2,2,1,0,0,0,0,1,0,0,0,2,1,1,1,1,3,3,3,3,98,2,2,8,98,10,1,1,14,1,0,0,0,0,0,0,1,0,2,8,2,23,98,98,1,31,31,80,80,3,3,2,3,2,5,5,5,5,5,5,5,5,5,0,8,3,3,2,3,2,2,8,2,2,3,3,2,2,33,8,122,1,2,1,33,8,122,8,2,1,10,3,1,1,0,0,0,0,9,0,2,98,0,6,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,7,7,0,98,1932
535,536,11,37,2,2,8,15,7,1,292,2,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,1,2,99,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,7,1,98,12,1,1,18,1,0,0,0,0,0,1,0,1,1,5,2,22,98,98,2,23,26,80,80,1,3,3,3,4,2,2,3,4,1,2,3,4,2,0,8,3,2,3,3,9,2,8,2,1,9,3,10,2,26,1,7,1,8,2,26,2,50,4,8,4,3,4,1,1,0,0,0,0,18,0,2,98,0,18,0, , , , , , , , , , , , , , ,4,1,2,26,3,55,8,6,1,5,5,5,21,23,5,1,2,26,3,55,8,6,1,5,5,5,21,23,5,98,6,12,97,997,98,8,8,98,8,98,23,37,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,7,0,98,1946
536,537,11,40,1,1,2,11,7,99,999,2,1,1,2,4,2,2,2,3,1,2,3,3,3,2,5,2,1,98,8,8,98,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,7,1,98,11,1,1,18,1,0,0,0,0,0,0,1,0,1,1,2,25,98,98,2,26,28,80,80,1,4,4,2,4,1,1,4,4,5,5,5,5,5,0,8,3,1,3,4,3,5,3,2,1,2,3,8,2,50,3,54,3,8,2,50,2,50,4,8,4,2,4,1,1,0,0,0,0,20,0,1,1,0,20,0,6,2,5,12,8,154,5,6,8,1,8,7,39,40, , , , , , , , , , , , , , , ,1,2,50,3,54,7,6,1,8,5,3,18,25,4,98,6,12,97,997,98,8,8,98,8,98,25,39,98,2,5,12,8,154,5,6,8,1,8,7,39,40,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,7,0,39,1943
537,538,11,36,2,1,3,19,9,3,286,2,1,11,1,2,2,1,2,2,1,3,9,9,3,2,2,2,1,98,8,8,98,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,9,8,8,12,1,1,22,2,8,8,8,8,8,8,8,8,8,8,2,23,98,98,2,24,33,80,80,2,3,4,4,4,2,3,3,4,3,3,4,4,4,1,4,8,8,8,8,8,6,8,3,2,1,3,10,2,59,1,8,1,6,2,59,1,8,3,6,5,3,4,1,1,0,0,0,0,13,0,1,4,0,11,0,6,2,2,40,1,16,4,3,1,7,4,1,25,36, , , , , , , , , , , , , , , ,1,2,88,1,22,8,6,1,9,3,3,22,23,4,98,6,12,97,997,98,8,8,98,8,98,23,25,98,2,2,40,1,16,4,3,1,7,4,1,25,36,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,4,1,0,98,1947
538,539,11,54,2,1,1,12,3,1,292,3,1,13,2,5,2,2,2,9,1,3,2,3,2,4,1,2,1,98,8,8,98,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,3,8,98,12,1,1,18,1,0,0,0,0,0,0,1,0,1,2,2,22,98,98,1,23,23,44,44,1,3,4,3,4,1,1,1,3,5,5,5,5,5,0,8,9,2,4,3,4,5,5,1,1,3,9,6,2,49,8,257,1,3,2,18,4,66,1,99,2,3,6,1,1,0,0,0,1,99,0,1,1,0,10,0,8,3,1,87,1,44,6,4,8,1,1,7,41,54, , , , , , , , , , , , , , , ,1,2,91,3,54,8,6,1,3,5,2,18,19,9,98,6,12,97,997,98,8,8,98,8,98,19,21,98,2,3,21,4,66,8,6,1,3,3,5,21,22,4,98,6,12,97,997,98,8,8,98,8,98,22,41,98,3,1,87,1,44,6,4,8,1,1,7,41,54,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,7,0,41,1929
539,540,11,30,2,1,3,11,9,10,275,1,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,2,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,8,8,1,12,1,1,20,2,8,8,8,8,8,8,8,8,8,8,2,21,98,98,2,22,24,80,80,2,4,4,3,4,1,1,3,3,5,5,5,5,5,1,1,8,8,8,8,8,2,8,1,1,1,9,8,1,50,4,71,8,99,1,50,4,71,8,99,4,7,4,1,1,0,0,0,0,21,999,2,98,0,21,999, , , , , , , , , , , , , , ,4,1,2,50,3,54,7,6,1,8,5,3,20,21,4,1,2,50,3,54,7,6,1,8,5,3,20,21,4,98,6,12,97,997,98,8,8,98,8,98,21,30,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,7,0,98,1953
540,541,11,38,2,1,2,11,7,99,999,2,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,2,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,1,7,1,98,11,1,1,18,1,0,0,0,0,0,0,0,1,2,8,2,23,98,98,2,25,27,80,80,3,2,4,4,2,1,2,2,1,5,5,5,5,5,0,8,4,2,4,4,2,5,3,2,2,2,3,8,2,25,8,185,1,6,2,25,8,185,2,6,4,4,4,1,1,0,0,0,0,13,0,2,98,0,13,0, , , , , , , , , , , , , , ,4,1,2,50,3,54,7,6,1,7,5,3,18,23,4,1,2,50,3,54,7,6,1,7,5,3,18,23,4,98,6,12,97,997,98,8,8,98,8,98,23,38,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,7,0,98,1945
541,542,11,60,2,1,3,16,1,99,999,3,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,2,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,1,1,8,98,16,1,1,12,2,8,8,8,8,8,8,8,8,8,8,2,19,98,98,3,20,27,35,49,3,4,2,1,4,5,5,5,5,5,5,5,5,5,0,8,2,4,1,2,4,5,1,1,1,1,2,1,1,1,5,75,8,2,5,12,97,997,8,98,1,1,7,1,1,0,0,0,1,99,0,1,2,0,2,0, , , , , , , , , , , , , , ,5,2,2,76,10,266,12,7,1,2,1,1,17,18,4,1,2,20,8,149,8,7,1,8,1,6,12,17,11,2,2,76,10,266,12,7,1,2,1,1,17,18,4,98,6,12,97,997,98,8,8,98,8,98,18,60,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,7,0,98,1923
542,543,11,44,1,1,3,11,6,1,20,3,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,2,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,1,7,3,98,11,1,1,16,2,8,8,8,8,8,8,8,8,8,8,2,24,98,98,2,25,28,80,80,1,4,4,4,4,5,5,5,5,5,5,5,5,5,0,8,2,4,2,4,4,5,7,1,1,1,4,8,2,35,8,131,1,5,2,36,8,136,1,8,2,2,4,1,1,0,0,0,0,99,0,1,1,0,99,0, , , , , , , , , , , , , , ,4,1,3,49,3,55,5,5,1,6,2,5,43,43,9,1,3,49,3,55,5,5,1,6,2,5,43,43,9,98,6,12,97,997,98,8,8,98,8,98,43,44,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,7,7,0,44,1939
543,544,11,47,2,1,3,11,7,4,63,3,1,19,5,2,3,3,3,9,2,3,2,9,3,1,3,7,1,98,8,8,98,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,6,8,98,11,1,1,15,1,0,0,0,0,0,0,1,0,1,2,2,26,98,98,1,28,28,80,80,1,2,4,4,3,4,9,4,4,9,9,9,9,9,0,8,5,5,5,5,5,5,5,4,1,9,3,7,2,50,3,54,1,8,2,50,2,50,4,8,1,1,4,1,1,1,0,0,0,13,0,1,1,0,12,0,5,2,5,12,8,161,5,5,8,1,8,7,28,47, , , , , , , , , , , , , , , ,1,2,21,8,161,7,6,1,3,4,1,18,28,5,2,5,12,8,161,5,5,8,1,8,7,28,47,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,1,0,98,1936
544,545,11,61,2,1,3,1,4,99,999,3,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,2,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,3,8,98,1,1,1,17,1,0,0,0,0,0,1,0,0,1,2,4,26,40,98,2,27,30,45,48,2,4,4,4,4,2,3,2,3,4,4,4,4,4,0,8,5,5,5,5,5,4,4,2,1,9,3,98,8,12,98,998,8,98,8,12,98,998,8,98,6,1,5,0,1,0,0,0,1,11,0,1,2,0,98,0, , , , , , , , , , , , , , ,8,3,2,88,3,54,8,6,1,4,2,2,48,57,14,1,2,65,3,60,8,6,1,6,3,2,17,23,4,98,6,12,97,997,98,8,8,98,8,98,23,27,98,2,4,47,3,54,6,6,8,2,1,7,27,40,8,98,6,12,97,997,98,8,8,98,8,98,40,48,98,3,2,88,3,54,8,6,1,4,2,2,48,57,14,98,6,12,97,997,98,8,8,98,8,98,57,61,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,1,1,0,98,1922
545,546,11,49,2,1,3,11,6,99,999,1,1,11,1,8,1,1,1,1,1,1,1,9,9,1,1,8,1,98,8,8,98,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,6,8,98,11,1,1,15,1,0,0,0,1,0,0,0,0,1,2,2,22,98,98,2,23,27,47,80,1,4,4,4,4,4,4,4,4,5,5,5,5,5,0,8,1,4,4,2,4,5,6,4,2,1,4,7,4,46,10,273,8,1,4,46,10,273,8,1,1,1,3,1,1,0,0,0,0,99,0,1,99,0,99,0,4,1,1,46,4,65,8,6,8,1,1,7,38,49, , , , , , , , , , , , , , , ,1,1,46,4,65,8,6,8,1,1,7,38,49,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,7,7,0,38,1934
546,547,11,36,2,2,8,1,7,1,44,3,1,20,2,8,2,2,2,2,1,1,9,9,9,1,2,2,1,98,8,8,98,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,6,8,98,1,1,1,15,1,0,0,0,0,0,0,1,0,1,3,2,22,98,98,2,24,28,80,80,1,4,4,4,4,4,4,4,4,4,4,4,4,4,0,8,5,5,5,5,5,4,3,4,2,2,3,8,2,45,8,257,1,5,2,38,8,188,1,6,4,1,4,1,1,0,0,0,0,15,0,1,2,0,14,0,4,1,5,12,8,161,6,6,8,1,8,7,16,36, , , , , , , , , , , , , , , ,1,5,12,8,161,6,6,8,1,8,7,16,36,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,0,98,1947
547,548,11,33,2,1,3,11,7,99,291,3,1,5,1,8,1,1,1,1,1,4,1,1,4,2,4,2,2,7,4,2,6,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,6,8,98,11,1,1,15,1,0,0,0,0,0,0,0,1,2,8,2,24,98,98,2,25,28,80,80,4,4,4,4,2,5,5,5,5,1,4,4,4,1,2,1,8,8,8,8,8,5,6,2,1,1,5,8,2,78,1,39,1,2,1,78,1,39,8,1,2,2,4,1,1,0,0,0,0,6,0,1,2,0,5,0,8,3,3,25,8,183,8,6,1,5,3,5,28,33, , , , , , , , , , , , , , , ,1,2,49,4,66,8,6,1,2,4,1,20,21,14,98,6,12,97,997,98,8,8,98,8,98,21,25,98,2,5,12,8,160,99,9,8,1,8,7,25,27,5,98,6,12,97,997,98,8,8,98,8,98,27,28,98,3,3,25,8,183,8,6,1,5,3,5,28,33,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,7,4,1,0,98,1950
548,549,11,60,2,9,8,16,3,1,20,3,1,17,1,8,1,2,1,1,1,1,4,4,1,4,2,1,1,98,8,8,98,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,1,8,98,16,1,1,13,2,8,8,8,8,8,8,8,8,8,8,4,24,32,98,1,24,24,50,50,1,4,4,1,4,5,5,5,5,5,5,5,5,5,0,8,4,4,4,1,4,5,9,2,2,4,5,98,8,12,98,998,8,98,8,12,98,998,8,98,1,1,1,8,8,8,8,8,8,4,0,1,4,0,98,0,8,4,3,24,10,273,8,5,1,7,2,1,43,60, , , , , , , , , , , , , , , ,1,2,20,8,149,10,7,1,6,1,1,13,23,4,98,6,12,97,997,98,8,8,98,8,98,23,33,98,2,3,27,8,258,8,6,1,5,2,1,33,39,11,3,2,33,8,121,8,6,1,6,2,1,39,43,2,4,3,24,10,273,8,5,1,7,2,1,43,60,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,7,4,0,98,1923
549,550,11,41,2,1,3,11,7,99,999,2,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,2,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,99,1,6,8,98,11,1,1,15,2,8,8,8,8,8,8,8,8,8,8,3,23,27,28,0,98,98,98,98,1,4,4,4,4,4,4,4,4,8,8,8,8,8,98,8,8,8,8,8,8,3,8,1,9,1,3,2,1,15,8,219,8,2,2,15,8,219,1,3,1,2,3,1,1,0,0,0,0,3,0,2,98,0,3,0, , , , , , , , , , , , , , ,7,3,2,20,8,158,8,6,1,4,3,1,27,31,9,1,2,91,10,273,8,6,1,9,3,3,15,19,8,2,2,18,10,266,99,9,1,3,1,2,19,23,4,98,6,12,97,997,98,8,8,98,8,98,23,27,98,3,2,20,8,158,8,6,1,4,3,1,27,31,9,98,6,12,97,997,98,8,8,98,8,98,31,41,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,8,8,8,98,1942
550,551,11,25,1,1,3,11,6,10,270,1,2,98,98,98,8,8,8,8,8,8,8,8,8,8,8,98,8,98,8,8,98,98,2,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,1,6,8,98,11,1,1,15,2,8,8,8,8,8,8,8,8,8,8,2,20,98,98,1,20,20,80,80,1,4,4,4,4,1,1,1,4,1,1,1,4,1,1,1,8,8,8,8,8,2,8,2,2,4,3,8,2,24,8,158,1,7,2,24,8,158,1,7,1,1,3,1,1,0,0,0,0,7,0,2,98,0,7,0, , , , , , , , , , , , , , ,4,1,2,24,8,158,8,6,1,7,1,3,15,20,5,1,2,24,8,158,8,6,1,7,1,3,15,20,5,98,6,12,97,997,98,8,8,98,8,98,20,25,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,7,0,98,1958
551,552,11,63,1,1,3,11,2,5,75,3,1,40,8,99,4,4,4,4,4,4,4,4,4,7,1,1,1,98,8,8,98,98,8,98,98,98,8,98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,98,1,2,8,98,11,1,1,14,2,8,8,8,8,8,8,8,8,8,8,2,23,98,98,4,25,32,55,60,1,4,4,3,4,4,4,4,4,4,4,4,4,4,0,8,5,5,5,5,5,9,8,9,9,9,3,2,2,36,8,140,1,99,1,1,5,75,8,1,1,1,4,1,1,0,0,0,0,99,0,2,98,0,99,0,5,2,4,1,5,75,99,9,8,1,1,7,23,63, , , , , , , , , , , , , , , ,1,4,1,5,75,99,9,8,1,1,7,13,23,4,2,4,1,5,75,99,9,8,1,1,7,23,63,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,1,0,98,1920
