,sampleno,kyojuuchi,q1,q2,q3,q3_toshiruikei,q4_1,q4_2,q5_1,q5_2,q6_1,q6_3,q6_3_toshiruikei,q6_4,q6_5_dai,q6_5_shou,q6_6,q6_7,q6a,q6b,q6c,q6d,q7,q8,q9_1,q9_2,q9_3,q9_4,q9_5,q10,q11,q11sq1,q11sq2_1,q11sq2_2,q11sq2_3,q11sq2_4,q11sq2_5,q11sq2_6,q11sq2_7,q12,q13,q13sq1,q13sq2,q13sq3,q13sq4_1,q13sq4_2,q14_1,q14_2,q14_3,q14_4,q14_5,q14_6,q15_kigyou,q15_jigyousho,q15_1,q15_3,q15_3_toshiruikei,q15_4,q15_5_dai,q15_5_shou,q15_6,q15_7,q15_8,q15_9_1,q15_9_2,q15_10,q16_1_kigyou,q16_1_jigyousho,q16_1_1,q16_1_3,q16_1_3_toshiruikei,q16_1_4,q16_1_5_dai,q16_1_5_shou,q16_1_6,q16_1_7,q16_1_8,q16_1_9_1,q16_1_9_2,q16_1_10,q16_2_kigyou,q16_2_jigyousho,q16_2_1,q16_2_3,q16_2_3_toshiruikei,q16_2_4,q16_2_5_dai,q16_2_5_shou,q16_2_6,q16_2_7,q16_2_8,q16_2_9_1,q16_2_9_2,q16_2_10,q16_3_kigyou,q16_3_jigyousho,q16_3_1,q16_3_3,q16_3_3_toshiruikei,q16_3_4,q16_3_5_dai,q16_3_5_shou,q16_3_6,q16_3_7,q16_3_8,q16_3_9_1,q16_3_9_2,q16_3_10,q16_4_kigyou,q16_4_jigyousho,q16_4_1,q16_4_3,q16_4_3_toshiruikei,q16_4_4,q16_4_5_dai,q16_4_5_shou,q16_4_6,q16_4_7,q16_4_8,q16_4_9_1,q16_4_9_2,q16_4_10,q16_5_kigyou,q16_5_jigyousho,q16_5_1,q16_5_3,q16_5_3_toshiruikei,q16_5_4,q16_5_5_dai,q16_5_5_shou,q16_5_6,q16_5_7,q16_5_8,q16_5_9_1,q16_5_9_2,q16_5_10,q16_6_kigyou,q16_6_jigyousho,q16_6_1,q16_6_3,q16_6_3_toshiruikei,q16_6_4,q16_6_5_dai,q16_6_5_shou,q16_6_6,q16_6_7,q16_6_8,q16_6_9_1,q16_6_9_2,q16_6_10,q16_7_kigyou,q16_7_jigyousho,q16_7_1,q16_7_3,q16_7_3_toshiruikei,q16_7_4,q16_7_5_dai,q16_7_5_shou,q16_7_6,q16_7_7,q16_7_8,q16_7_9_1,q16_7_9_2,q16_7_10,q16_8_kigyou,q16_8_jigyousho,q16_8_1,q16_8_3,q16_8_3_toshiruikei,q16_8_4,q16_8_5_dai,q16_8_5_shou,q16_8_6,q16_8_7,q16_8_8,q16_8_9_1,q16_8_9_2,q16_8_10,q16_9_kigyou,q16_9_jigyousho,q16_9_1,q16_9_3,q16_9_3_toshiruikei,q16_9_4,q16_9_5_dai,q16_9_5_shou,q16_9_6,q16_9_7,q16_9_8,q16_9_9_1,q16_9_9_2,q16_9_10,q16_10_kigyou,q16_10_jigyousho,q16_10_1,q16_10_3,q16_10_3_toshiruikei,q16_10_4,q16_10_5_dai,q16_10_5_shou,q16_10_6,q16_10_7,q16_10_8,q16_10_9_1,q16_10_9_2,q16_10_10,q16_11_kigyou,q16_11_jigyousho,q16_11_1,q16_11_3,q16_11_3_toshiruikei,q16_11_4,q16_11_5_dai,q16_11_5_shou,q16_11_6,q16_11_7,q16_11_8,q16_11_9_1,q16_11_9_2,q16_11_10,q16_12_kigyou,q16_12_jigyousho,q16_12_1,q16_12_3,q16_12_3_toshiruikei,q16_12_4,q16_12_5_dai,q16_12_5_shou,q16_12_6,q16_12_7,q16_12_8,q16_12_9_1,q16_12_9_2,q16_12_10,q16_13_kigyou,q16_13_jigyousho,q16_13_1,q16_13_3,q16_13_3_toshiruikei,q16_13_4,q16_13_5_dai,q16_13_5_shou,q16_13_6,q16_13_7,q16_13_8,q16_13_9_1,q16_13_9_2,q16_13_10,q16_14_kigyou,q16_14_jigyousho,q16_14_1,q16_14_3,q16_14_3_toshiruikei,q16_14_4,q16_14_5_dai,q16_14_5_shou,q16_14_6,q16_14_7,q16_14_8,q16_14_9_1,q16_14_9_2,q16_14_10,q16_15_kigyou,q16_15_jigyousho,q16_15_1,q16_15_3,q16_15_3_toshiruikei,q16_15_4,q16_15_5_dai,q16_15_5_shou,q16_15_6,q16_15_7,q16_15_8,q16_15_9_1,q16_15_9_2,q16_15_10,q16_16_kigyou,q16_16_jigyousho,q16_16_1,q16_16_3,q16_16_3_toshiruikei,q16_16_4,q16_16_5_dai,q16_16_5_shou,q16_16_6,q16_16_7,q16_16_8,q16_16_9_1,q16_16_9_2,q16_16_10,q16_17_kigyou,q16_17_jigyousho,q16_17_1,q16_17_3,q16_17_3_toshiruikei,q16_17_4,q16_17_5_dai,q16_17_5_shou,q16_17_6,q16_17_7,q16_17_8,q16_17_9_1,q16_17_9_2,q16_17_10,q17_1,q17_2,q17_3,q18,q18sq1_1,q18sq1_2,q18sq1_3,q18sq1_4,q18sq1_5,q18sq1_6,q18sq1_7,q18sq2_1_1,q18sq2_1_2,q18sq2_1_3,q18sq2_1_4,q18sq2_1_5,q18sq2_1_7,q18sq2_2_1,q18sq2_2_2,q18sq2_2_3,q18sq2_2_4,q18sq2_2_5,q18sq2_2_7,q18sq2_3_1,q18sq2_3_2,q18sq2_3_3,q18sq2_3_4,q18sq2_3_5,q18sq2_3_7,q19,q19sq1_1,q19sq1_2,q19sq1_3,q19sq1_4,q19sq1_5,q19sq2_1,q19sq2_2,q19sq2_3,q19sq2_4,q19sq2_5,q19sq3_1,q19sq3_2,q19sq3_3,q19sq3_4,q19sq3_5,q20,q20sq2,q21,q22,q22sq1,q22sq2,q23_1,q23_2,q23_3,q23_4,q23_5,q23_6,q23_7,q23_8,q23_9,q23_10,q24,q25,q25sq1,q25sq2,q25sq3,q26_1,q26_1sq1,q26_1sq2,q26_2,q26_3,q26_4,q26_5,q26_6_1,q26_6_2,q27,q28_1,q28_1sq1,q28_1sq2,q28_2,q28_3,q28_4,q28_5,q28_6_1,q28_6_2,q29,q29_1,q29_2,q29_3,q29_4,q30,q30_1_1,q30_1_3,q30_1_4_dai,q30_1_4_shou,q30_1_5,q30_1_6,q31,q32,q32_1,q33,q33_1
1194,1195,10,36,1,10,2,3,2,1,1,2,10,2,62,7,99,1,7,5,30,36,1,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,6,2,98,8,8,98,98,2,2,1,2,1,1,0,0,5,10,2,1,5,75,8,1,7,15,30,10,1,0,2,10,2,62,7,99,1,7,5,30,36,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,1,1,0,0,0,0,0,0,1,1,1,30,2,2,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,5,2,8,8,1,1,3,1,3,1,3,3,3,1,2,2,98,98,98,7,8,8,10,2,1,1,12,15,2,98,8,8,98,8,8,8,98,98,1,24,25,80,98,1,7,13,97,997,8,98,7,6,998,6,998
1195,1196,10,39,2,12,1,2,2,2,2,2,10,3,93,1,12,4,8,8,37,39,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,17,2,98,8,8,98,98,2,1,2,1,1,8,0,0,2,10,4,93,1,12,1,8,3,22,24,1,0,1,2,10,4,93,1,12,1,8,8,24,28,1,0,1,2,10,4,93,1,12,1,8,8,28,32,1,0,1,2,10,4,93,1,12,3,8,8,32,37,1,0,1,2,10,3,93,1,12,4,8,8,37,39,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,1,1,1,0,0,0,0,0,0,4,1,1,24,1,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,2,8,8,1,2,1,1,2,1,2,3,3,3,2,2,98,98,98,10,8,4,12,3,1,1,18,22,2,98,8,8,98,8,8,8,98,98,1,28,29,80,98,1,7,13,97,997,8,98,7,13,998,13,998
1196,1197,10,34,2,13,3,2,2,1,1,2,10,2,40,8,257,2,8,8,32,34,3,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,12,2,98,8,8,98,98,2,1,2,2,1,1,0,0,2,12,1,40,3,54,1,7,3,18,20,1,0,0,2,12,1,40,3,54,2,7,8,20,21,7,1,0,2,13,3,36,8,129,1,4,1,21,21,2,2,0,2,13,3,82,8,137,1,2,1,21,22,13,3,0,2,13,3,40,8,257,1,8,5,22,28,1,3,1,2,13,3,40,8,257,2,8,8,28,32,1,3,2,2,10,2,40,8,257,2,8,8,32,34,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,7,1,0,0,0,0,0,1,0,4,6,1,27,2,2,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,1,5,2,2,8,8,2,2,1,3,2,1,3,2,2,3,1,2,98,98,98,8,1,8,13,2,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,27,28,80,98,1,7,13,97,997,8,98,7,11,998,11,998
1197,1198,10,38,1,10,4,6,1,5,1,1,10,4,1,5,75,8,1,7,16,38,0,2,1,9,9,9,9,9,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,1,5,75,8,1,7,16,38,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,5,2,8,8,3,3,3,3,3,3,3,3,1,3,3,8,98,98,98,7,8,8,10,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,28,29,80,98,1,5,1,5,75,8,1,6,5,998,5,998
1198,1199,10,54,1,10,4,5,5,4,4,1,10,4,1,5,75,8,1,7,16,54,0,2,1,9,9,9,9,9,7,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,1,5,75,8,1,7,16,54,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,9,2,9,9,9,9,9,9,9,9,2,8,98,98,98,2,8,8,10,2,1,1,14,16,2,98,8,8,98,8,8,8,98,98,1,26,30,49,80,1,5,1,5,75,8,1,2,5,998,3,998
1199,1200,10,64,1,10,4,8,5,3,2,1,10,4,1,5,75,8,1,7,17,64,0,9,1,9,9,9,9,9,99,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,1,5,75,8,1,7,17,64,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,3,3,3,3,3,3,3,3,3,3,2,8,98,98,98,2,8,8,10,2,1,1,15,17,2,98,8,8,98,8,8,8,98,98,1,27,28,80,98,1,5,1,5,75,8,1,1,5,998,4,998
1200,1201,10,39,1,10,4,6,2,1,1,1,10,4,1,5,75,8,1,7,18,39,0,2,1,9,9,9,9,9,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,1,5,75,8,1,7,18,39,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,9,9,9,9,9,9,9,9,9,9,3,8,98,98,98,8,4,8,10,2,1,1,16,18,2,98,8,8,98,8,8,8,98,98,1,25,27,80,98,1,5,1,5,75,8,1,7,7,998,5,998
1201,1202,10,64,1,10,4,9,4,3,1,1,10,4,1,5,75,8,1,7,17,64,0,2,1,9,9,9,9,9,1,1,3,0,0,0,1,1,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,1,5,75,8,1,7,17,64,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,2,8,8,3,3,1,3,3,1,3,3,1,3,3,8,98,98,98,2,8,8,10,2,1,1,14,16,2,98,8,8,98,8,8,8,98,98,1,26,30,53,99,1,5,1,5,75,8,1,3,5,998,3,998
1202,1203,10,55,1,10,4,8,5,5,3,1,10,4,1,5,75,8,1,7,20,55,0,2,1,9,9,9,9,9,1,1,2,0,0,0,1,1,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,1,5,75,8,1,7,20,55,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,1,4,7,2,8,8,9,9,9,9,9,9,9,9,3,3,3,8,98,98,98,3,8,8,12,1,1,2,19,20,2,98,8,8,98,8,8,8,98,98,1,26,27,54,80,1,5,1,5,75,8,1,2,7,998,3,998
1203,1204,10,58,1,10,4,4,1,3,1,1,10,4,1,5,75,8,1,7,16,58,0,2,1,9,9,9,9,9,4,1,3,0,0,0,1,1,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,1,5,75,8,1,7,16,58,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,3,3,2,2,9,2,3,9,3,3,3,8,98,98,98,2,8,8,10,2,1,1,14,16,2,98,8,8,98,8,8,8,98,98,1,25,26,99,80,1,5,1,5,75,8,1,2,6,998,99,998
1204,1205,10,66,1,10,4,8,4,3,1,7,98,8,12,98,998,8,98,98,66,66,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,10,2,15,8,235,1,7,1,36,66,6,98,98,7,98,8,12,98,998,8,98,98,66,66,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,9,9,9,9,9,9,9,9,9,9,3,8,98,98,98,1,8,8,10,2,1,1,7,12,2,98,8,8,98,8,8,8,98,98,1,23,24,99,99,2,98,12,98,998,8,98,98,99,998,99,998
1205,1206,10,28,1,10,4,7,7,3,3,2,10,4,38,8,225,1,2,1,24,28,2,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,4,2,98,8,8,98,98,2,1,1,2,1,9,0,0,2,10,4,18,8,203,1,2,1,15,18,11,1,0,2,11,3,38,8,225,1,3,1,18,24,99,2,0,2,10,4,38,8,225,1,2,1,24,28,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,6,2,8,8,3,3,1,3,3,3,3,3,3,3,2,2,98,98,98,7,8,8,10,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,21,21,80,98,1,7,13,97,997,8,98,6,99,998,99,998
1206,1207,10,51,1,10,4,12,8,8,7,1,10,4,1,5,75,8,1,7,16,51,0,1,1,9,9,9,9,9,99,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,1,5,75,8,1,7,16,51,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,3,3,3,3,3,3,1,3,3,3,2,8,98,98,98,2,8,8,10,2,1,1,14,16,2,98,8,8,98,8,8,8,98,98,1,27,28,45,80,1,5,1,5,75,8,1,2,99,998,99,998
1207,1208,10,55,1,10,4,7,7,2,2,1,10,4,1,5,75,8,1,7,16,55,0,2,1,9,9,9,9,9,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,1,5,75,8,1,7,16,55,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,9,9,9,9,9,9,9,9,9,9,3,8,98,98,98,2,8,8,10,2,1,1,14,16,2,98,8,8,98,8,8,8,98,98,1,25,26,51,80,1,5,1,5,75,8,1,2,3,998,3,998
1208,1209,10,55,1,10,4,5,1,3,1,1,10,4,1,5,75,8,1,7,15,55,0,2,1,9,9,9,9,9,1,1,2,0,0,0,1,1,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,1,5,75,8,1,7,15,55,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,9,9,9,3,3,3,3,3,3,3,2,8,98,98,98,2,8,8,10,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,22,24,46,50,1,5,1,5,75,8,1,2,99,998,99,998
1209,1210,10,47,1,10,4,6,1,3,1,1,10,4,1,5,75,8,1,7,14,47,0,2,1,9,9,9,9,9,99,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,1,5,75,8,1,7,14,47,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,1,7,4,3,3,3,1,3,3,3,3,3,3,3,8,98,98,98,7,8,8,10,2,1,1,12,14,2,98,8,8,98,8,8,8,98,98,1,25,26,44,44,1,5,1,5,75,8,1,6,10,998,6,998
1210,1211,10,53,2,12,1,8,1,4,1,1,10,4,46,10,273,8,1,7,18,53,0,1,1,9,9,9,9,9,9,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,46,10,273,8,1,7,18,53,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,3,3,3,3,3,3,3,3,3,3,3,8,98,98,98,3,8,8,14,2,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,20,21,99,99,1,5,46,10,275,8,99,2,99,998,99,998
1211,1212,10,41,1,10,4,7,2,3,1,1,10,4,1,5,75,8,1,7,15,41,0,2,1,9,9,9,9,9,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,10,4,1,5,75,8,1,7,15,41,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,7,2,8,8,3,3,3,3,3,3,2,3,3,2,3,8,98,98,98,7,8,8,10,2,1,1,13,15,2,98,8,8,98,8,8,8,98,98,1,29,30,80,98,1,5,1,5,75,8,1,7,11,998,7,998
