,id,curr_liv_pref,age,mv,compul_edu_pref,compul_edu_ctype,num_sib,b_ord,num_sib_male,b_ord_male,curr_emp_pos,curr_pref,curr_ctype,curr_ind,curr_ind_maj,curr_ind_min,curr_pos,curr_f_sz,curr_chnl,curr_s_age,curr_e_age,tot_num_trans_btw_frms,q7,q8,q9_1,q9_2,q9_3,q9_4,q9_5,q10,q11,q11sq1,q11sq2_1,q11sq2_2,q11sq2_3,q11sq2_4,q11sq2_5,q11sq2_6,q11sq2_7,q12,q13,q13sq1,q13sq2,q13sq3,q13sq4_1,q13sq4_2,q14_1,q14_2,q14_3,q14_4,q14_5,q14_6,init_frm_id,init_est_id,init_emp_pos,init_pref,init_ctype,init_ind,init_ind_maj,init_ind_min,init_pos,init_f_sz,init_chnl,init_s_age,init_e_age,init_chng_rsn,1st_frm_id,1st_est_id,1st_emp_pos,1st_pref,1st_ctype,1st_ind,1st_ind_maj,1st_ind_min,1st_pos,1st_f_sz,1st_chnl,1st_s_age,1st_e_age,1st_chng_rsn,2nd_frm_id,2nd_est_id,2nd_emp_pos,2nd_pref,2nd_ctype,2nd_ind,2nd_ind_maj,2nd_ind_min,2nd_pos,2nd_f_sz,2nd_chnl,2nd_s_age,2nd_e_age,2nd_chng_rsn,3rd_frm_id,3rd_est_id,3rd_emp_pos,3rd_pref,3rd_ctype,3rd_ind,3rd_ind_maj,3rd_ind_min,3rd_pos,3rd_f_sz,3rd_chnl,3rd_s_age,3rd_e_age,3rd_chng_rsn,4th_frm_id,4th_est_id,4th_emp_pos,4th_pref,4th_ctype,4th_ind,4th_ind_maj,4th_ind_min,4th_pos,4th_f_sz,4th_chnl,4th_s_age,4th_e_age,4th_chng_rsn,5th_frm_id,5th_est_id,5th_emp_pos,5th_pref,5th_ctype,5th_ind,5th_ind_maj,5th_ind_min,5th_pos,5th_f_sz,5th_chnl,5th_s_age,5th_e_age,5th_chng_rsn,6th_frm_id,6th_est_id,6th_emp_pos,6th_pref,6th_ctype,6th_ind,6th_ind_maj,6th_ind_min,6th_pos,6th_f_sz,6th_chnl,6th_s_age,6th_e_age,6th_chng_rsn,7th_frm_id,7th_est_id,7th_emp_pos,7th_pref,7th_ctype,7th_ind,7th_ind_maj,7th_ind_min,7th_pos,7th_f_sz,7th_chnl,7th_s_age,7th_e_age,7th_chng_rsn,8th_frm_id,8th_est_id,8th_emp_pos,8th_pref,8th_ctype,8th_ind,8th_ind_maj,8th_ind_min,8th_pos,8th_f_sz,8th_chnl,8th_s_age,8th_e_age,8th_chng_rsn,9th_frm_id,9th_est_id,9th_emp_pos,9th_pref,9th_ctype,9th_ind,9th_ind_maj,9th_ind_min,9th_pos,9th_f_sz,9th_chnl,9th_s_age,9th_e_age,9th_chng_rsn,10th_frm_id,10th_est_id,10th_emp_pos,10th_pref,10th_ctype,10th_ind,10th_ind_maj,10th_ind_min,10th_pos,10th_f_sz,10th_chnl,10th_s_age,10th_e_age,10th_chng_rsn,11th_frm_id,11th_est_id,11th_emp_pos,11th_pref,11th_ctype,11th_ind,11th_ind_maj,11th_ind_min,11th_pos,11th_f_sz,11th_chnl,11th_s_age,11th_e_age,11th_chng_rsn,12th_frm_id,12th_est_id,12th_emp_pos,12th_pref,12th_ctype,12th_ind,12th_ind_maj,12th_ind_min,12th_pos,12th_f_sz,12th_chnl,12th_s_age,12th_e_age,12th_chng_rsn,13th_frm_id,13th_est_id,13th_emp_pos,13th_pref,13th_ctype,13th_ind,13th_ind_maj,13th_ind_min,13th_pos,13th_f_sz,13th_chnl,13th_s_age,13th_e_age,13th_chng_rsn,14th_frm_id,14th_est_id,14th_emp_pos,14th_pref,14th_ctype,14th_ind,14th_ind_maj,14th_ind_min,14th_pos,14th_f_sz,14th_chnl,14th_s_age,14th_e_age,14th_chng_rsn,15th_frm_id,15th_est_id,15th_emp_pos,15th_pref,15th_ctype,15th_ind,15th_ind_maj,15th_ind_min,15th_pos,15th_f_sz,15th_chnl,15th_s_age,15th_e_age,15th_chng_rsn,16th_frm_id,16th_est_id,16th_emp_pos,16th_pref,16th_ctype,16th_ind,16th_ind_maj,16th_ind_min,16th_pos,16th_f_sz,16th_chnl,16th_s_age,16th_e_age,16th_chng_rsn,17th_frm_id,17th_est_id,17th_emp_pos,17th_pref,17th_ctype,17th_ind,17th_ind_maj,17th_ind_min,17th_pos,17th_f_sz,17th_chnl,17th_s_age,17th_e_age,17th_chng_rsn,inst_1,inst_2,inst_3,sts,sts_mfg,sts_ag,sts_med,sts_hlth,sts_educ,sts_com,sts_he,q18sq2_1_1,q18sq2_1_2,q18sq2_1_3,q18sq2_1_4,q18sq2_1_5,q18sq2_1_7,q18sq2_2_1,q18sq2_2_2,q18sq2_2_3,q18sq2_2_4,q18sq2_2_5,q18sq2_2_7,q18sq2_3_1,q18sq2_3_2,q18sq2_3_3,q18sq2_3_4,q18sq2_3_5,q18sq2_3_7,q19,q19sq1_1,q19sq1_2,q19sq1_3,q19sq1_4,q19sq1_5,q19sq2_1,q19sq2_2,q19sq2_3,q19sq2_4,q19sq2_5,q19sq3_1,q19sq3_2,q19sq3_3,q19sq3_4,q19sq3_5,q20,q20sq2,q21,q22,q22sq1,q22sq2,q23_1,q23_2,q23_3,q23_4,q23_5,q23_6,q23_7,q23_8,q23_9,q23_10,q24,q25,q25sq1,q25sq2,q25sq3,init_j_edu_deg,init_j_edu_hs_maj,init_j_edu_clg_maj,init_j_edu_pref,init_j_edu_est,init_j_edu_crs,init_j_edu_grad,init_j_edu_s_age,init_j_edu_e_age,q27,fin_edu_deg,fin_edu_hs_maj,fin_edu_clg_maj,fin_edu_pref,fin_edu_est,fin_edu_crs,fin_edu_grad,fin_edu_s_age,fin_edu_e_age,marr,marr_age,1st_cld_born_age,q29_3,q29_4,wife,wife_emp_pos,wife_ind,wife_ind_maj,wife_ind_min,wife_pos,wife_f_sz,wife_fin_edu,inc_hh,q32_1,inc_ind,q33_1,chrt,curr_liv_rgn,compul_edu_rgn,curr_rgn,init_rgn,1st_rgn,2nd_rgn,3rd_rgn,4th_rgn,5th_rgn,6th_rgn,7th_rgn,8th_rgn,9th_rgn,10th_rgn,11th_rgn,12th_rgn,13th_rgn,14th_rgn,15th_rgn,16th_rgn,17th_rgn,init_j_edu_rgn,fin_edu_rgn,curr_ind_cl,init_ind_cl,1st_ind_cl,2nd_ind_cl,3rd_ind_cl,4th_ind_cl,5th_ind_cl,6th_ind_cl,7th_ind_cl,8th_ind_cl,9th_ind_cl,10th_ind_cl,11th_ind_cl,12th_ind_cl,13th_ind_cl,14th_ind_cl,15th_ind_cl,16th_ind_cl,17th_ind_cl,wife_ind_cl,inc_ind_cl
366,367,12,25,2,11,3,6,4,3,1,2,12,1,61,7,99,1,7,5,24,25,2,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,1,1,25,2,2,1,7,1,2,1,2,2,2,0,0,1,11,3,45,4,63,8,2,7,18,23,7,1,0,2,12,1,40,4,70,4,3,5,23,24,2,2,0,2,12,1,61,7,99,1,7,5,24,25,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,5,8,1,0,0,0,1,0,0,1,3,7,1,18,1,1,2,4,1,21,1,1,3,7,1,24,1,1,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,1,5,5,1,5,4,2,2,1,2,2,3,2,1,2,2,3,1,25,2,3,8,1,8,12,2,2,2,16,17,2,98,8,8,98,8,8,8,98,98,1,20,21,80,98,1,7,13,97,997,8,98,7,7,998,7,998,1956,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,COM,COM,COM,COM,,,,,,,,,,,,,,,,ST,
367,368,12,38,1,12,1,4,1,3,1,1,12,1,44,4,63,8,1,7,18,38,0,2,1,9,9,9,9,9,1,1,4,0,1,0,1,0,1,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,1,12,1,44,4,63,8,1,7,18,38,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,8,8,1,0,0,0,0,0,0,1,3,7,3,20,1,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,3,2,8,8,2,2,3,1,9,1,1,1,1,1,2,8,98,98,98,8,3,8,12,3,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,27,28,80,98,1,5,44,4,66,8,1,7,11,998,6,998,1943,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,COM,COM,,,,,,,,,,,,,,,,,,COM,AFF
368,369,12,32,1,12,1,3,2,3,2,1,12,1,46,10,273,8,1,7,23,32,1,2,2,9,9,9,9,9,1,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,29,1,46,10,273,1,3,2,18,23,3,1,0,1,12,1,46,10,273,8,1,7,23,32,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,6,1,6,4,1,2,1,1,9,9,9,1,1,1,1,8,98,98,98,8,3,8,12,3,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,25,26,80,98,1,5,46,10,273,8,1,7,7,998,7,998,1949,KT,KT,KT,KS,,,,,,,,,,,,,,,,,,KT,UNK,SRV,SRV,SRV,,,,,,,,,,,,,,,,,SRV,
369,370,12,49,2,7,4,8,3,4,2,1,12,1,21,8,159,8,1,7,25,49,1,1,3,2,1,2,2,9,4,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,12,1,21,8,159,1,3,1,17,24,3,98,98,7,98,8,12,98,998,8,98,98,24,25,98,1,0,1,12,1,21,8,159,8,1,7,25,49,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,6,1,6,3,2,1,1,1,9,1,9,1,1,9,1,8,98,98,98,4,8,8,7,2,1,1,12,17,2,98,8,8,98,8,8,8,98,98,1,26,27,80,98,1,5,21,8,165,8,1,6,8,998,8,998,1932,KT,TH,KT,KT,,,,,,,,,,,,,,,,,,TH,UNK,LI,LI,UE,LI,,,,,,,,,,,,,,,,LI,AFF
370,371,12,56,2,11,4,5,1,3,1,1,12,1,36,8,136,8,3,7,29,56,1,1,5,2,2,2,2,2,4,1,2,0,0,0,1,1,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,12,1,36,8,136,1,4,1,12,19,4,98,98,6,98,8,14,96,996,8,98,98,19,20,98,98,98,7,98,8,12,98,998,8,98,98,20,24,98,0,0,2,12,1,36,8,140,1,4,1,24,29,2,1,0,1,12,1,36,8,136,8,3,7,29,56,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,5,2,8,8,2,1,1,1,2,1,3,1,1,2,1,8,98,98,98,1,8,8,11,2,1,1,7,12,2,98,8,8,98,8,8,8,98,98,1,28,36,56,80,1,5,36,3,55,8,3,3,20,998,20,998,1925,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,HI,HI,MIL,UE,HI,HI,,,,,,,,,,,,,,HI,LI
371,372,12,41,2,22,4,10,7,6,5,2,11,2,49,4,66,1,4,5,20,41,2,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,21,1,99,9,9,99,99,2,2,2,1,1,1,0,0,2,29,1,22,8,168,1,5,3,18,19,6,1,0,2,12,1,23,8,242,1,4,5,19,20,13,2,0,2,11,2,49,4,66,1,4,5,20,41,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,9,1,9,9,1,2,9,1,9,2,3,2,1,9,1,9,98,98,98,8,2,8,22,2,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,25,28,80,98,1,4,49,4,66,1,4,7,8,998,8,998,1940,KT,HR,KT,KS,,,,,,,,,,,,,,,,,,HR,UNK,COM,LI,LI,COM,,,,,,,,,,,,,,,,COM,AFF
372,373,12,51,2,4,4,1,1,1,1,2,11,3,32,8,114,3,6,1,39,51,1,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,12,2,98,8,8,98,98,2,1,1,1,1,1,0,0,2,12,1,32,8,123,1,5,1,21,39,2,1,0,2,11,3,32,8,114,3,6,1,39,51,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,1,1,1,30,2,1,8,8,98,8,8,8,8,98,8,8,2,8,3,1,3,3,2,1,1,1,2,1,3,3,1,2,1,2,98,98,98,2,8,8,4,2,1,1,12,14,2,98,8,8,98,8,8,8,98,98,1,27,29,80,98,1,7,13,97,997,8,98,2,10,998,10,998,1930,KT,TH,KT,KT,,,,,,,,,,,,,,,,,,TH,UNK,HI,HI,HI,,,,,,,,,,,,,,,,,ST,HI
373,374,12,47,2,34,4,5,4,2,1,2,14,1,48,2,50,5,6,1,34,47,2,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,13,2,98,8,8,98,98,2,2,2,1,1,1,0,0,2,14,1,87,3,55,1,3,5,22,26,13,1,0,2,12,1,23,2,50,4,5,1,26,34,2,2,0,2,14,1,48,2,50,5,6,1,34,47,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,2,1,2,4,2,1,2,1,1,1,2,2,1,3,1,2,98,98,98,10,8,1,12,3,1,1,18,22,2,98,8,8,98,8,8,8,98,98,1,27,29,80,98,1,7,13,97,997,8,98,7,15,998,15,998,1934,KT,CG,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,COM,SRV,LI,COM,,,,,,,,,,,,,,,,ST,SRV
374,375,12,44,1,12,1,5,3,3,2,2,12,1,50,2,50,5,8,1,43,44,1,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,1,2,98,8,8,98,98,2,1,2,1,1,1,0,0,2,12,1,35,3,54,3,8,1,24,43,13,1,0,2,12,1,50,2,50,5,8,1,43,44,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,8,1,0,0,0,0,0,0,1,2,7,2,20,2,9,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,1,2,1,2,2,2,2,2,1,2,2,3,3,1,9,98,98,98,8,3,8,12,2,1,1,15,18,2,98,8,8,98,8,8,8,98,98,1,26,32,80,98,1,7,13,97,997,8,98,7,9,998,9,998,1937,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,COM,HI,COM,,,,,,,,,,,,,,,,,ST,AFF
375,376,12,53,2,12,4,3,1,1,1,1,12,1,88,1,21,8,1,7,38,53,1,1,3,2,2,2,2,2,3,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,12,4,1,5,76,1,5,3,17,19,6,98,98,7,98,8,12,98,998,8,98,98,19,26,98,98,98,8,98,8,13,97,997,8,98,98,26,29,98,1,0,1,12,1,88,1,21,8,1,7,29,34,14,98,98,7,98,8,12,98,998,8,98,98,34,38,98,1,0,1,12,1,88,1,21,8,1,7,38,53,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,8,8,1,0,0,1,0,0,0,0,2,3,4,26,1,1,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,9,1,6,2,1,1,1,2,9,9,3,1,1,3,1,8,98,98,98,2,8,8,12,2,1,1,12,14,2,98,8,8,98,8,8,8,98,98,1,29,80,98,98,1,5,88,1,21,8,1,2,7,998,7,998,1928,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,SRV,AFF,UE,ST,SRV,UE,SRV,,,,,,,,,,,,,SRV,
376,377,12,52,1,12,1,5,4,4,3,2,12,1,86,3,54,3,6,8,50,52,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,35,2,98,8,8,98,98,1,1,2,2,2,8,0,0,2,12,1,86,7,109,1,6,99,17,50,1,0,0,2,12,1,86,3,54,3,6,8,50,52,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,2,8,8,8,8,8,8,8,8,8,8,98,8,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,9,2,8,8,2,2,2,1,2,2,2,3,1,2,3,9,98,98,98,3,8,8,12,2,1,1,15,17,2,98,8,8,98,8,8,8,98,98,1,33,34,80,98,1,7,13,97,997,8,98,2,8,998,8,998,1929,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,SRV,SRV,SRV,,,,,,,,,,,,,,,,,ST,AFF
377,378,12,56,1,12,1,6,5,3,2,2,12,1,40,3,55,1,4,1,43,56,6,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,13,2,98,8,8,98,98,1,1,1,2,1,1,0,0,2,12,1,50,3,54,1,7,1,16,16,14,1,0,2,12,1,81,10,275,1,8,1,16,18,2,2,0,2,14,1,36,8,121,1,8,6,18,19,4,98,98,6,98,8,14,96,996,8,98,98,19,20,98,98,98,7,98,8,12,98,998,8,98,98,20,24,98,3,0,2,14,1,66,8,254,1,4,1,24,26,10,98,98,7,98,8,12,98,998,8,98,98,26,26,98,4,0,2,14,1,82,3,54,1,8,4,26,34,2,5,0,2,12,1,40,3,54,3,5,1,34,43,13,6,0,2,12,1,40,3,55,1,4,1,43,56,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,8,1,0,0,0,0,0,1,0,2,6,1,34,1,1,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,1,6,4,1,4,1,3,1,2,3,2,3,3,2,1,2,3,1,50,5,3,2,8,8,12,2,1,1,13,15,1,3,8,8,12,3,2,1,16,18,1,29,30,53,53,1,1,49,4,63,8,1,2,99,998,99,998,1925,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,KT,COM,COM,SRV,HI,MIL,UE,SRV,UE,SRV,COM,COM,,,,,,,,,COM,UNK
378,379,12,41,1,12,1,4,1,3,1,1,12,1,77,10,272,8,1,7,30,41,1,1,1,3,1,2,9,2,2,1,1,0,0,0,1,0,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,12,1,77,4,70,1,3,2,15,30,14,1,0,1,12,1,77,10,272,8,1,7,30,41,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,1,0,0,0,0,0,0,1,3,7,1,25,1,1,8,8,8,98,8,8,8,8,8,98,8,8,1,1,4,20,1,1,8,8,98,8,8,8,8,98,8,8,2,8,5,2,8,8,9,3,1,9,9,2,3,1,3,9,1,8,98,98,98,7,8,8,12,2,1,1,12,15,2,98,8,8,98,8,8,8,98,98,1,26,28,80,98,1,5,77,10,272,8,1,6,9,998,6,998,1940,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,SRV,SRV,SRV,,,,,,,,,,,,,,,,,SRV,AFF
379,380,12,54,2,6,4,6,4,3,2,2,12,1,98,9,262,1,9,5,23,54,0,8,8,8,8,8,8,8,98,8,98,8,8,8,8,8,8,8,32,2,98,8,8,98,98,2,1,1,2,1,8,0,0,2,12,1,98,9,262,1,9,5,23,54,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,8,1,0,0,0,0,0,0,1,4,7,1,36,1,8,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,1,2,1,1,1,2,3,3,1,3,1,3,3,3,3,3,1,2,98,98,98,2,8,8,6,2,1,1,14,16,2,98,8,8,98,8,8,8,98,98,1,26,26,45,51,1,7,13,97,997,8,98,2,11,998,9,998,1927,KT,TH,KT,KT,,,,,,,,,,,,,,,,,,TH,UNK,SRV,SRV,,,,,,,,,,,,,,,,,,ST,AFF
380,381,12,54,2,13,4,7,1,6,1,1,12,1,47,8,137,8,1,7,37,54,3,2,3,3,2,3,9,2,1,1,2,0,0,0,0,1,0,0,98,8,98,8,8,98,98,8,8,8,8,8,8,0,0,2,13,4,36,8,136,1,8,2,19,21,2,1,0,5,13,4,36,8,137,8,2,7,21,24,7,98,98,7,98,8,12,98,998,8,98,98,24,25,98,2,0,1,12,1,47,8,141,8,2,7,25,37,13,3,0,1,12,1,47,8,137,8,1,7,37,54,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,8,1,0,0,0,0,0,0,1,4,7,1,99,1,1,8,8,8,98,8,8,8,8,8,98,8,8,2,8,8,98,8,8,8,8,98,8,8,8,8,98,8,8,2,8,1,2,8,8,1,2,1,2,9,2,3,2,1,3,2,8,98,98,98,4,8,8,13,2,1,2,13,16,2,98,8,8,98,8,8,8,98,98,1,28,29,49,52,1,7,13,97,997,8,98,3,13,998,8,998,1927,KT,KT,KT,KT,,,,,,,,,,,,,,,,,,KT,UNK,COM,HI,HI,UE,COM,COM,,,,,,,,,,,,,,ST,AFF
